世界,shìjiè,world,HSK 3
手机,shǒujī,"cell phone, mobile phone",HSK 3
书,shū,book,HSK 3
树,shù,tree,HSK 3
水平,shuǐpíng,"level (of ability, etc.)",HSK 3
叔叔,shūshu,"uncle, father's younger brother",HSK 3
数学,shùxué,mathematics,HSK 3
司机,sījī,driver,HSK 3
太阳,tàiyáng,sun,HSK 3
糖,táng,sugar; candy,HSK 3
天气,tiānqì,weather,HSK 3
体育,tǐyù,"physical education, sports",HSK 3
同事,tóngshì,"co-worker, colleague",HSK 3
头发,tóufa,hair (on the head),HSK 3
腿,tuǐ,leg,HSK 3
图书馆,túshūguǎn,library,HSK 3
碗,wǎn,bowl,HSK 3
文化,wénhuà,culture,HSK 3
问题,wèntí,"question; problem, issue",HSK 3
西,xī,west,HSK 3
夏,xià,summer,HSK 3
香蕉,xiāngjiāo,banana,HSK 3
先生,xiānsheng,Mr.; husband; sir,HSK 3
校长,xiàozhǎng,principal,HSK 3
习惯,xíguàn,"habit, custom",HSK 3
信,xìn,letter; to believe,HSK 3
行李箱,xínglixiāng,"trunk (of a car), baggage compartment",HSK 3
兴趣,xìngqù,interest (in something),HSK 3
新闻,xīnwén,news,HSK 3
信用卡,xìnyòngkǎ,credit card,HSK 3
熊猫,xíongmāo,panda,HSK 3
洗手间,xǐshǒujiān,restroom,HSK 3
选择,xuǎnzé,choice,HSK 3
雪,xuě,snow,HSK 3
眼镜,yǎnjìng,glasses,HSK 3
眼睛,yǎnjing,eye,HSK 3
要求,yāoqiú,demand(s),HSK 3
爷爷,yéye,paternal grandfather,HSK 3
衣服,yīfu,clothing,HSK 3
以后,yǐhòu,"after, later on, in the future",HSK 3
一会儿,yīhuìr,a while,HSK 3
影响,yǐngxiǎng,an influence,HSK 3
银行,yínháng,bank,HSK 3
饮料,yǐnliào,"beverage, (non-alcoholic) drink",HSK 3
音乐,yīnyuè,music,HSK 3
以前,yǐqián,"before, previous; ago",HSK 3
游戏,yóuxì,game,HSK 3
鱼,yú,fish,HSK 3
月亮,yuèliang,the moon,HSK 3
照片,zhàopiàn,photograph,HSK 3
照相机,zhàoxiàngjī,camera,HSK 3
中间,zhōngjiān,in the middle,HSK 3
中文,Zhōngwén,Chinese (language),HSK 3
周末,zhōumò,weekend,HSK 3
字典,zìdiǎn,character dictionary,HSK 3
自行车,zìxíngchē,bicycle,HSK 3
嘴,zuǐ,mouth,HSK 3
最后,zuìhòu,last,HSK 3
最近,zuìjìn,"recently, these days",HSK 3
作业,zuòyè,homework,HSK 3
作用,zuòyòng,impact,HSK 3
半,bàn,half,HSK 3
万,wàn,ten thousand,HSK 3
地,de,[structural particle used before a verb or adjective],HSK 3
啊,a,[sentence-final modal particle],HSK 3
自己,zìjǐ,oneself,HSK 3
感兴趣,gǎn xìngqù,to be interested in,HSK 3
被,bèi,[passive marker],HSK 3
除了,chúle,except for,HSK 3
跟,gēn,"and, with",HSK 3
根据,gēnjù,"according to, based on",HSK 3
关于,guānyú,"about, concerning, regarding",HSK 3
为,wèi,for; to,HSK 3
为了,wèile,"for the purpose of, in order to",HSK 3
向,xiàng,towards,HSK 3
搬,bān,"to move (house, or large heavy objects)",HSK 3
帮忙,bāngmáng,"to help, to do a favor",HSK 3
变化,biànhuà,to change,HSK 3
表示,biǎoshì,"to show, to indicate",HSK 3
表演,biǎoyǎn,"to perform, to act",HSK 3
参加,cānjiā,"to participate in, to attend",HSK 3
差,chà,poor quality; to differ,HSK 3
迟到,chídào,to arrive late,HSK 3
出现,chūxiàn,to appear,HSK 3
带,dài,to carry,HSK 3
担心,dānxīn,to worry,HSK 3
打扫,dǎsǎo,to clean,HSK 3
打算,dǎsuàn,to plan (to),HSK 3
懂,dǒng,to understand,HSK 3
锻炼,duànliàn,"to exercise, to work out, to train a skill",HSK 3
发,fā,to send out,HSK 3
放,fàng,"to put, to place; to release",HSK 3
放心,fàngxīn,to be at ease,HSK 3
发烧,fāshāo,to have a fever,HSK 3
发现,fāxiàn,to find; to discover,HSK 3
分,fēn,"to divide, to separate",HSK 3
复习,fùxí,to review (as part of one's studies),HSK 3
敢,gǎn,to dare (to),HSK 3
感冒,gǎnmào,"to catch cold, to have a cold; a cold",HSK 3
刮风,guāfēng,the wind blows,HSK 3
关,guān,"to close, to shut, to turn off",HSK 3
关心,guānxīn,"to care for, to be concerned about",HSK 3
过,guò,"to spend, to pass",HSK 3
害怕,hàipà,to be afraid; to be scared,HSK 3
花,huā,"to spend (money, time)",HSK 3
画,huà,to draw,HSK 3
还,huán,"to return (money, etc.)",HSK 3
换,huàn,to replace; to exchange,HSK 3
欢迎,huānyíng,to welcome,HSK 3
回答,huídá,"to reply, to answer; the answer",HSK 3
检查,jiǎnchá,"to inspect, to examine",HSK 3
讲,jiǎng,to speak,HSK 3
见面,jiànmiàn,to meet,HSK 3
教,jiāo,to teach,HSK 3
记得,jìde,to remember,HSK 3
接,jiē,"to receive, to pick up",HSK 3
借,jiè,"to lend, to borrow",HSK 3
结婚,jiéhūn,to get married,HSK 3
解决,jiějué,to resolve,HSK 3
结束,jiéshù,to be finished,HSK 3
经过,jīngguò,"to pass, to go through",HSK 3
决定,juédìng,to decide,HSK 3
哭,kū,to cry,HSK 3
练习,liànxí,to practice,HSK 3
离开,líkāi,to leave,HSK 3
了解,liǎojiě,to be fully familiar with,HSK 3
聊天,liáotiān,to chat,HSK 3
留学,liúxué,to study abroad,HSK 3
卖,mài,to sell,HSK 3
满意,mǎnyì,to be satisfied,HSK 3
明白,míngbai,"to understand, to realize",HSK 3
拿,ná,"to get, to pick up",HSK 3
爬山,páshān,"to climb a mountain, to go hiking",HSK 3
骑,qí,"to ride (by straddling, as when riding a horse or bike)",HSK 3
起床,qǐchuáng,to get up (out of bed),HSK 3
起飞,qǐfēi,to take off (in an airplane),HSK 3
起来,qǐlái,to get up; upward,HSK 3
请,qǐng,"to invite, to request, to treat (to a meal, etc.); please",HSK 3
请假,qǐngjià,to ask for leave,HSK 3
认为,rènwéi,to believe; to think,HSK 3
上网,shàngwǎng,"to go online, to use the internet",HSK 3
生气,shēngqì,to get angry,HSK 3
使,shǐ,"to make, to cause",HSK 3
试,shì,to try,HSK 3
刷牙,shuāyá,to brush one's teeth,HSK 3
疼,téng,"to hurt, to be sore; to love dearly",HSK 3
提高,tígāo,to raise; to improve,HSK 3
同意,tóngyì,to agree,HSK 3
完成,wánchéng,to complete,HSK 3
忘记,wàngjì,to forget,HSK 3
像,xiàng,to resemble; like,HSK 3
相信,xiāngxìn,to believe (that),HSK 3
洗澡,xǐzǎo,"to bathe, to take a shower",HSK 3
选择,xuǎnzé,to choose,HSK 3
学习,xuéxí,to learn; to study,HSK 3
需要,xūyào,to need,HSK 3
要求,yāoqiú,to demand,HSK 3
应该,yīnggāi,"ought to, should",HSK 3
以为,yǐwéi,to (mistakenly) think (that),HSK 3
用,yòng,to use,HSK 3
愿意,yuànyì,to be willing (to do sth),HSK 3
遇到,yùdào,"to run into, to come across",HSK 3
再见,zàijiàn,"goodbye, see you later",HSK 3
站,zhàn,"to stand; station, stop",HSK 3
长,zhǎng,to grow,HSK 3
照顾,zhàogu,to take care of,HSK 3
祝,zhù,to wish,HSK 3
注意,zhùyì,to pay attention,HSK 3
